M112,"MYANMAR PYONE PAN TAYAR INDY CO.,","NO.23/150 (B) , HAR KHAR ST, INDUSTRIAL ZONE (1), SOUTH DAGON MYOTHIT TSP, YANGON."
M113,MYANMAR S.M.C G,"BLOCK NO. 574, LOT NO. 2/3 KA+3/1, KHA+ 2/4 KA, KYUNN TAW NORTH BLOCK, SATTHWARDAW VILLAGE, HMAWBI TOWNSHIP, YANGON."
M114,"MYANMAR SEIN PANN GARMENT MFG., CO.,","NO.(511/A), HAKHA STREET, INDUSTRIAL ZONE (1), DAGON MYOTHIT (SOUTHERN) TOWNSHIP, YANGON."
M115,"MYANMAR SOLAMODA G. CO.,","PLOT NO. (139). MIN AYEYAR ROAD SHWE THAN, LWIN INDUSTRIAL ZONE, HLAING THANYAR TSO, YANGON"
M116,"MYANMAR SYNERGY GARMENT CO.,","NO. (18/19), DEPE YIN WUN HTAUK U MYAE ST, INDUSTRIAL ZONE (2), HLAING THARYAR TSP, YANGON."
M117,"MYANMAR TAH HSIN INDUSTRIAL CO.,","PLOT NO. D1-D2/ MINGALARDON INDUSTRIAL PARK, MINGALARDON TSP."
M118,MYANMAR UNGARAN INDAH BUSANA,"122/124, WET MA SUT WUN HTAUK ST., I.ZONE(3) , SHWE PYI THAR TSP."
M119,"MYANMAR UNIQUE GARMENT MFG., CO.,","NO.129/KAGYI AND 129/KHA KWAY, WATMASUT WUNHTAUK ROAD, HLAING THARYAR INDUSTRIAL ZONE (4), HLAING THARYAR TOWNSHIP, YANGON."
M120,"MYANMAR YES CO.,","64/ DE PEYIN WUN HTAUK U MYAE ST, I.Z(3), HLAING THARYAR."
M121,"MYANMAR YORK FASHION CO.,","NO. 168, KYANSITTHAR STREET, INDUSTRIAL ZONE (4), HLAING THARYAR TOWNSHIP, YANGON."
M122,"MYANSTAR GARMENT CO.,","WARD(9), OAKTHA MYOTHIT BAGO I.Z ESTATE"
M123,"MYIN THAR MFG. CO.,","32/ KONE MYINT YEIK THAR ST, 7 MILE, MAYANGONE"
M124,"MYIN ZA YI CO.,","NO.53/54, KANAUNG MIN THAR GYI RD, SHWE PAUK KAN INDUSTRIAL ZONE, YANGON."
M125,"MYUE & SUE GARMENT CO.,","NO.82, 64-65/ PYINSEMINTHARGYI ST, IZ(4), HLAING THARYAR."
M126,"NADIA PACIFIC APPAREL CO.,","PLOT NO.107, U TUN NYO STREET, INDUSTRIAL ZONE (2), HLAING THARYAR TSP, YANGON."
